Domain,Question,Answer,Keywords
C++,What happens if a virtual function is called inside a constructor or destructor?,Virtual functions do not exhibit polymorphic behavior inside constructors or destructors. The function of the current class is called because the derived class is not fully constructed or already destroyed.,"virtual, function, constructor, destructor, polymorphic, derived, class"
C++,Explain the Rule of Three/Five in C++?,If a class defines a destructor copy constructor or copy assignment operator it should likely define all three. With C++11 this extends to five including move constructor and move assignment operator to properly manage resources.,"rule, three, five, destructor, copy, constructor, assignment, move"
C++,What is move semantics and why is it important?,Move semantics allows resources to be transferred from temporary objects instead of copied improving performance. It is implemented using rvalue references and move constructors.,"move, semantics, rvalue, references, performance, temporary, constructors"
C++,What are lvalues and rvalues?,Lvalues refer to objects that have a persistent memory location whereas rvalues are temporary objects that do not persist beyond the expression.,"lvalues, rvalues, memory, persistent, temporary, expression"
C++,Explain shallow copy vs deep copy with a real issue scenario?,Shallow copy copies pointer addresses leading to shared memory and potential double deletion whereas deep copy duplicates the actual data preventing such issues.,"shallow, deep, copy, pointer, memory, deletion, data"
C++,What is RAII and why is it critical?,RAII Resource Acquisition Is Initialization ensures that resource allocation and deallocation are tied to object lifetime preventing leaks and ensuring exception safety.,"RAII, resource, allocation, deallocation, lifetime, leaks, exception, safety"
C++,What is undefined behavior in C++? Give examples.,Undefined behavior occurs when the C++ standard does not define the outcome such as accessing out of bounds memory dereferencing null pointers or modifying a variable multiple times without sequence points.,"undefined, behavior, memory, dereference, null, pointer, sequence, bounds"
C++,What is the difference between new/delete and malloc/free?,new/delete are operators in C++ that call constructors and destructors whereas malloc/free are C functions that only allocate and deallocate raw memory.,"new, delete, malloc, free, constructor, destructor, memory, allocation"
C++,Explain smart pointers and their types?,Smart pointers manage dynamic memory automatically. unique_ptr provides exclusive ownership shared_ptr allows shared ownership and weak_ptr prevents cyclic references.,"smart, pointer, unique_ptr, shared_ptr, weak_ptr, ownership, memory"
C++,What is a dangling pointer?,A dangling pointer points to memory that has already been freed leading to undefined behavior if accessed.,"dangling, pointer, memory, freed, undefined, behavior"
C++,What are memory leaks and how to prevent them?,Memory leaks occur when allocated memory is not deallocated. They can be prevented using RAII smart pointers and proper resource management.,"memory, leaks, RAII, smart, pointers, resource, management"
C++,Explain virtual destructors and why they are needed?,A virtual destructor ensures that the correct destructor is called when deleting derived objects through base class pointers preventing resource leaks.,"virtual, destructor, derived, base, class, resource, leaks"
C++,What is object slicing?,Object slicing occurs when a derived class object is assigned to a base class object causing loss of derived class specific data.,"object, slicing, derived, base, class, data"
C++,What are templates and how do they work internally?,Templates allow generic programming. The compiler generates specific implementations during compilation through template instantiation.,"templates, generic, programming, compiler, instantiation"
C++,What is SFINAE?,Substitution Failure Is Not An Error is a template metaprogramming principle where invalid template substitutions are ignored rather than causing compilation errors.,"SFINAE, substitution, template, metaprogramming, error, compilation"
C++,Explain constexpr and its use cases?,constexpr allows evaluation of expressions at compile time improving performance and enabling compile-time computations.,"constexpr, compile, time, performance, evaluation, computation"
C++,What is the difference between const and constexpr?,const defines immutable variables at runtime whereas constexpr ensures values are computed at compile time.,"const, constexpr, runtime, compile, immutable, variables"
C++,What are lambda expressions?,Lambda expressions are anonymous functions that can capture variables from their surrounding scope and are widely used in STL algorithms.,"lambda, expressions, anonymous, functions, capture, STL, algorithms"
C++,Explain capture list in lambdas?,Capture list specifies how variables are captured into lambda by value by reference or mixed modes.,"capture, list, lambda, value, reference, variables"
C++,What is multithreading issue race condition?,Race condition occurs when multiple threads access shared data concurrently leading to unpredictable results.,"race, condition, multithreading, threads, shared, data, concurrent"
C++,What is mutex and how does it work?,A mutex is a synchronization primitive that ensures only one thread can access a critical section at a time.,"mutex, synchronization, primitive, thread, critical, section"
C++,What is deadlock?,Deadlock occurs when two or more threads are waiting indefinitely for resources held by each other.,"deadlock, threads, resources, waiting, indefinite"
C++,Explain condition variables?,Condition variables allow threads to wait until a particular condition is met and are used with mutexes for synchronization.,"condition, variables, threads, wait, mutex, synchronization"
C++,What is the difference between compile-time and runtime polymorphism?,Compile-time polymorphism is achieved using function overloading and templates whereas runtime polymorphism uses virtual functions and inheritance.,"compile-time, runtime, polymorphism, overloading, templates, virtual, inheritance"
C++,What is vtable and vptr?,vtable is a table of function pointers for virtual functions and vptr is a pointer in each object that points to the vtable enabling dynamic dispatch.,"vtable, vptr, function, pointers, virtual, dispatch"
C++,What is C++?,C++ is a general-purpose programming language that supports procedural programming object-oriented programming and generic programming. It is widely used for system software game development and performance-critical applications.,"C++, programming, language, procedural, object-oriented, generic, system, software, game"
C++,What is the difference between C and C++?,C is a procedural programming language whereas C++ supports both procedural and object-oriented programming. C++ includes features like classes inheritance polymorphism and encapsulation which are not present in C.,"C, C++, procedural, object-oriented, classes, inheritance, polymorphism, encapsulation"
C++,What is a class in C++?,A class is a user-defined data type that contains variables and functions. It is used to create objects and implements the concept of encapsulation.,"class, user-defined, data, type, variables, functions, encapsulation"
C++,What is an object?,An object is an instance of a class. It represents a real-world entity and contains data and functions defined by its class.,"object, instance, class, entity, data, functions"
C++,What is encapsulation?,Encapsulation is the concept of wrapping data and functions into a single unit called a class and restricting direct access to some components using access specifiers.,"encapsulation, data, functions, class, access, specifiers"
C++,What is inheritance?,Inheritance is a feature where one class acquires properties and behavior of another class. It promotes code reusability.,"inheritance, class, properties, behavior, reusability"
C++,What is polymorphism?,Polymorphism means having multiple forms. In C++ it allows functions or operators to behave differently based on context such as function overloading and operator overloading.,"polymorphism, functions, operators, overloading, context"
C++,What are access specifiers?,Access specifiers define the accessibility of class members. The three types are public private and protected.,"access, specifiers, public, private, protected"
C++,What is a constructor?,A constructor is a special member function of a class that is automatically called when an object is created. It initializes the object.,"constructor, member, function, class, object, initialize"
C++,What is a destructor?,A destructor is a special function that is automatically called when an object goes out of scope or is deleted. It is used to release resources.,"destructor, function, object, scope, deleted, resources"
C++,What is function overloading?,Function overloading is defining multiple functions with the same name but different parameters in the same scope.,"function, overloading, parameters, scope"
C++,What is operator overloading?,Operator overloading allows operators to be redefined for user-defined types to perform specific operations.,"operator, overloading, user-defined, types, operations"
C++,What is a pointer?,A pointer is a variable that stores the memory address of another variable.,"pointer, variable, memory, address"
C++,What is dynamic memory allocation?,Dynamic memory allocation is allocating memory at runtime using operators like new and delete.,"dynamic, memory, allocation, runtime, new, delete"
C++,What is the difference between stack and heap memory?,Stack memory is used for static memory allocation and function calls while heap memory is used for dynamic memory allocation and managed manually by the programmer.,"stack, heap, memory, static, dynamic, allocation, "
C++,What is a reference variable?,A reference variable is an alias for another variable. It must be initialized when declared and cannot be changed later.,"reference, variable, alias, initialized"
C++,What is the difference between pass by value and pass by reference?,Pass by value sends a copy of the variable while pass by reference sends the actual variable allowing modifications to affect the original.,"pass, value, reference, copy, variable, modifications"
